,EventName,RoundNumber,eventYear,Team,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,lapNumberAtBeginingOfStint,StintLen,fuel_slope,fuel_bias,deg_slope,deg_bias,level_4,lag_slope_mean,lag_bias_mean
961,Belgian Grand Prix,7,2020,Renault,HARD,RIC,2.0,102.061,Qualifying,18.94242424242424,29.56969696969697,53.21515151515151,0.0,4.0,4.0,2.0,1.0,12.0,33.0,-0.0778205128205093,111.47246153846153,-0.06284888888888986,110.93269606837613,961,,
962,Belgian Grand Prix,7,2020,Renault,SOFT,OCO,1.0,102.396,Qualifying,18.472727272727276,30.563636363636363,54.4,0.0,6.0,5.0,1.0,4.0,1.0,11.0,-0.0043589743589724705,111.5247435897436,-0.09460000000000501,111.93340000000005,962,,
963,Belgian Grand Prix,7,2020,Renault,SOFT,RIC,1.0,102.061,Qualifying,18.472727272727276,30.563636363636363,54.4,0.0,4.0,4.0,1.0,4.0,1.0,11.0,-0.0778205128205093,111.47246153846153,-0.10810000000001618,111.88200000000016,963,,
964,Belgian Grand Prix,7,2020,Williams,HARD,LAT,2.0,104.138,Qualifying,18.795,30.065,53.915,0.0,19.0,16.0,2.0,1.0,11.0,20.0,-0.15137506136475246,114.00894550810015,-0.13403636363636662,114.31752727272735,964,,
965,Belgian Grand Prix,7,2020,Williams,MEDIUM,LAT,1.0,104.138,Qualifying,18.47,30.54,54.46,0.0,19.0,16.0,1.0,1.0,1.0,10.0,-0.15137506136475246,114.00894550810015,0.05489999999998815,112.8333000000001,965,,
966,Belgian Grand Prix,7,2020,Williams,MEDIUM,LAT,3.0,104.138,Qualifying,19.1,28.835714285714285,52.76428571428571,0.0,19.0,16.0,3.0,1.0,31.0,14.0,-0.15137506136475246,114.00894550810015,0.08533333333333318,105.89788888888887,966,,
967,Belgian Grand Prix,7,2020,Williams,MEDIUM,RUS,1.0,103.468,Qualifying,18.47,30.5,54.34,0.0,15.0,19.0,1.0,1.0,1.0,10.0,,,-0.014300000000009933,112.59190000000007,967,,
968,Belgian Grand Prix,12,2021,Alfa Romeo Racing,WET,GIO,2.0,122.306,Qualifying,13.4,15.266666666666666,96.53333333333336,1.0,14.0,13.0,2.0,1.0,1.0,3.0,,,,,968,,
969,Belgian Grand Prix,12,2021,Alfa Romeo Racing,WET,RAI,3.0,124.452,Qualifying,13.4,15.266666666666666,96.5,1.0,0.0,18.0,3.0,1.0,1.0,3.0,,,,,969,,
970,Belgian Grand Prix,12,2021,AlphaTauri,UNKNOWN,GAS,1.0,116.44,Qualifying,13.366666666666667,15.266666666666666,96.66666666666669,1.0,6.0,6.0,1.0,1.0,1.0,3.0,,,,,970,,
971,Belgian Grand Prix,12,2021,AlphaTauri,UNKNOWN,TSU,1.0,122.413,Qualifying,13.4,15.266666666666666,96.5,1.0,16.0,15.0,1.0,1.0,1.0,3.0,,,,,971,,
972,Belgian Grand Prix,12,2021,Alpine,UNKNOWN,ALO,1.0,118.205,Qualifying,13.4,15.266666666666666,96.53333333333336,1.0,12.0,11.0,1.0,1.0,1.0,3.0,,,,,972,,
973,Belgian Grand Prix,12,2021,Alpine,UNKNOWN,OCO,1.0,117.354,Qualifying,13.366666666666667,15.266666666666666,96.66666666666669,1.0,8.0,7.0,1.0,1.0,1.0,3.0,,,,,973,,
974,Belgian Grand Prix,12,2021,Aston Martin,UNKNOWN,STR,1.0,118.231,Qualifying,13.4,15.266666666666666,96.5,1.0,19.0,20.0,1.0,1.0,1.0,3.0,,,,,974,,
975,Belgian Grand Prix,12,2021,Aston Martin,UNKNOWN,VET,1.0,116.814,Qualifying,13.366666666666667,15.266666666666666,96.66666666666669,1.0,5.0,5.0,1.0,3.0,1.0,3.0,,,,,975,,
976,Belgian Grand Prix,12,2021,Ferrari,UNKNOWN,LEC,1.0,117.721,Qualifying,13.366666666666667,15.266666666666666,96.66666666666669,1.0,9.0,8.0,1.0,1.0,1.0,3.0,,,,,976,,
977,Belgian Grand Prix,12,2021,Ferrari,UNKNOWN,SAI,1.0,118.137,Qualifying,13.366666666666667,15.266666666666666,96.66666666666669,1.0,11.0,10.0,1.0,1.0,1.0,3.0,,,,,977,,
